Date,Orders,"Total Sales",Returns,Coupons,Taxes,Shipping,"Net Revenue"
"2020-10-31 00:00:00",46,2940.93,0.00,51.57,0.00,50.00,2890.93
"2020-10-30 00:00:00",30,1652.60,0.00,0.00,0.00,50.00,1602.60
"2020-10-29 00:00:00",5,283.10,0.00,0.00,0.00,0.00,283.10
"2020-10-28 00:00:00",6,391.00,0.00,0.00,0.00,0.00,391.00
"2020-10-27 00:00:00",2,123.91,0.00,6.99,0.00,0.00,123.91
"2020-10-26 00:00:00",2,91.50,0.00,0.00,0.00,0.00,91.50
"2020-10-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-24 00:00:00",1,1.80,0.00,0.00,0.00,0.00,1.80
"2020-10-23 00:00:00",4,240.00,0.00,0.00,0.00,74.00,166.00
"2020-10-22 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-21 00:00:00",2,2.00,0.00,0.00,0.00,0.00,2.00
"2020-10-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-18 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-17 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-16 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-15 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-14 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-13 00:00:00",3,77.00,0.00,0.00,0.00,0.00,77.00
"2020-10-12 00:00:00",2,225.10,0.00,0.00,0.00,0.00,225.10
"2020-10-11 00:00:00",1,303.55,0.00,0.00,0.00,0.00,303.55
"2020-10-10 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-09 00:00:00",1,81.50,12.00,0.00,0.00,0.00,81.50
"2020-10-08 00:00:00",1,24.55,0.00,0.00,0.00,0.00,24.55
"2020-10-07 00:00:00",2,34.41,0.00,0.00,0.00,2.96,31.45
"2020-10-06 00:00:00",4,172.00,0.00,0.00,0.00,6.00,166.00
"2020-10-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
"2020-10-01 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00
